Team,Games_Played
BARKOM KAŻANY LWÓW,27
AZS OLSZTYN,396
ASSECO RESOVIA,431
STOCZNIA SZCZECIN,64
WARTA ZAWIERCIE,156
LUK  LUBLIN,54
BBTS BIELSKO-BIAŁA,170
MKS BĘDZIN,178
PROJEKT WARSZAWA,407
AZS CZĘSTOCHOWA,250
STAL NYSA,80
JADAR RADOM,46
CUPRUM LUBIN,234
TREFL GDAŃSK,337
ŚLEPSK MALOW SUWAŁKI,83
CZARNI RADOM,264
PAMAPOL WIELTON WIELUŃ,56
PGE SKRA BEŁCHATÓW,435
ZAKSA KĘDZIERZYN-KOŹLE,445
GKS KATOWICE,173
CHEMIK BYDGOSZCZ,318
SPOŁEM KIELCE,235
JASTRZĘBSKI WĘGIEL,439
